Device,Time,Alert,Lat/Lng,Address,Driver(s),Speed (mph)
Bianca,01/02/2025 03:42:53 PM,Harsh Braking,"38.282431°, -122.664868°","83 Ely Rd, Petaluma, CA 94954, USA",N/A,0.0
Bianca,01/13/2025 01:14:26 PM,Harsh Cornering,"38.432040°, -122.716088°","CA 12, Santa Rosa, CA 95407, USA",N/A,35.6
Bianca,01/16/2025 01:46:17 PM,Harsh Cornering,"38.163087°, -122.680584°","6433 Point Reyes Petaluma Rd, Petaluma, CA 94952, USA",N/A,29.3
Bianca,01/17/2025 01:38:15 PM,Harsh Cornering,"38.432492°, -122.716301°","424 Sebastopol Ave, Santa Rosa, CA 95401, USA",N/A,31.2
Bianca,01/21/2025 09:07:35 AM,Harsh Cornering,"38.362609°, -122.713307°","5080 Redwood Dr, Rohnert Park, CA 94928, USA",N/A,28.6
Bianca,01/27/2025 12:14:21 PM,Engine Idle,"38.238385°, -122.632753°","511 E D St, Petaluma, CA 94952, USA",N/A,0.0
Bianca,01/27/2025 02:28:27 PM,Harsh Cornering,"38.247101°, -122.627792°","US 101, Petaluma, CA 94954, USA",N/A,38.1
Bianca,01/30/2025 09:19:08 AM,Harsh Cornering,"38.431260°, -122.714653°","CA 12, Santa Rosa, CA 95401, USA",N/A,28.7
Bianca,02/04/2025 12:57:45 PM,Harsh Cornering,"38.546785°, -122.808779°","US-101, Windsor, CA 95492, USA",N/A,25.0
Bianca,02/06/2025 12:16:39 PM,Speeding Over,"38.375634°, -122.716111°","102 Scenic Ave, Santa Rosa, CA 95407, USA",N/A,81.3
Bianca,02/12/2025 09:37:16 AM,Harsh Cornering,"38.431278°, -122.714640°","CA 12, Santa Rosa, CA 95401, USA",N/A,29.1
Bianca,02/14/2025 12:46:08 PM,Harsh Cornering,"38.348270°, -122.712841°","US 101, Rohnert Park, CA 94928, USA",N/A,40.9
Bianca,02/21/2025 10:26:38 AM,Harsh Cornering,"38.430585°, -122.713719°","CA-12, Santa Rosa, CA 95404, USA",N/A,38.7
Bianca,02/21/2025 04:27:31 PM,Harsh Cornering,"38.432116°, -122.716166°","CA 12, Santa Rosa, CA 95407, USA",N/A,27.8
Bianca,02/26/2025 12:28:38 PM,Harsh Cornering,"38.495372°, -122.754781°","US 101, Santa Rosa, CA 95403, USA",N/A,31.7
Bianca,03/03/2025 02:34:19 PM,Harsh Cornering,"38.431975°, -122.716082°","CA 12, Santa Rosa, CA 95407, USA",N/A,38.4
Bianca,03/07/2025 02:39:38 PM,Harsh Cornering,"38.432071°, -122.716124°","CA 12, Santa Rosa, CA 95407, USA",N/A,37.1
Dane,01/02/2025 03:17:44 PM,Harsh Cornering,"38.256820°, -122.492214°","1777 Watmaugh Rd, Sonoma, CA 95476, USA",N/A,39.6
Dane,01/03/2025 02:03:35 PM,Harsh Cornering,"38.234258°, -122.617120°","1105 Baywood Dr, Petaluma, CA 94954, USA",N/A,32.7
Dane,01/06/2025 08:07:17 AM,Engine Idle,"38.329579°, -122.704258°","285 Burton Ave, Rohnert Park, CA 94928, USA",N/A,0.0
Dane,01/06/2025 12:23:00 PM,Engine Idle,"38.262808°, -122.488514°","265 Avenida Barbera, Sonoma, CA 95476, USA",N/A,0.0
Dane,01/07/2025 07:50:55 AM,After Hours,"38.329528°, -122.704106°","285 Burton Ave, Rohnert Park, CA 94928, USA",N/A,5.4
Dane,01/07/2025 11:48:01 AM,Harsh Cornering,"38.234655°, -122.618895°","1070 Lakeville Hwy, Petaluma, CA 94952, USA",N/A,39.7
Dane,01/08/2025 07:52:00 AM,After Hours,"38.329549°, -122.704175°","285 Burton Ave, Rohnert Park, CA 94928, USA",N/A,5.1
Dane,01/08/2025 11:10:15 AM,Engine Idle,"38.240908°, -122.645232°","608 Kentucky St, Petaluma, CA 94952, USA",N/A,0.0
Dane,01/09/2025 07:46:44 AM,After Hours,"38.325217°, -122.705095°","8 Charles St, Cotati, CA 94931, USA",N/A,13.7
Dane,01/09/2025 08:00:23 AM,After Hours,"38.264411°, -122.601162°","2700 Adobe Rd, Petaluma, CA 94954, USA",N/A,47.8
Dane,01/09/2025 10:05:05 AM,Engine Idle,"38.201474°, -122.447249°","25708 Arnold Dr, Sonoma, CA 95476, USA",N/A,0.0
